,Fold selected features,Fold #features
Fold_76,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_intragland_cellfrequency', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Stroma_glandular_epithelium_intragland_cellfrequency', 'Macrophages_M1-like_stromal_area', 'NA_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'aSMA-br_mesenchymal_stromal_area', 'NK_cells_CD56brCD16-_intragland_cellfrequency', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Stroma_fibroblast_intragland_cellfrequency', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'Stroma_mesenchymal_intragland_cellfrequency', 'NA_intragland_cellfrequency', 'Gland_fibroblast_intragland_eccentricity', 'B_cells_stromal_cellfrequency', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'NKT_stromal_cellfrequency', 'NKT_glandfront_area', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'Stroma_mesenchymal_stromal_area', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_area', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Stroma_fibroblast_stromal_GranzymeB', 'CD4_T_cells_CD11b+_stromal_cellfrequency']",40
Fold_77,"['aSMA-br_vascular_endothelium_stromal_area', 'NA_intragland_cellfrequency', 'Macrophages_M1-like_stromal_area', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Stroma_vascular_endothelium_stromal_area', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Macrophages_M1_M2_stromal_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB']",17
Fold_78,"['aSMA-br_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'Macrophages_M1-like_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_cellfrequency', 'Macrophages_MDSC_stromal_cellfrequency', 'Neutrophils_stromal_cellfrequency', 'NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD86+_stromal_cellfrequency', 'Macrophages_M1_M2_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_intragland_cellfrequency', 'aSMA-br_fibroblast_intragland_cellfrequency', 'Gland_fibroblast_glandfront_cellfrequency', 'Macrophages_M1-like_intragland_cellfrequency', 'Macrophages_M1-like_stromal_cellfrequency', 'Stroma_mesenchymal_intragland_cellfrequency', 'NA_intragland_cellfrequency', 'NKT_glandfront_cellfrequency', 'NKT_intragland_cellfrequency', 'Stroma_vascular_endothelium_stromal_cellfrequency', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'Stroma_fibroblast_glandfront_cellfrequency', 'B_cells_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_vascular_endothelium_glandfront_cellfrequency', 'CD4_T_cells_HLA-DR+_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency', 'Dendritic_Cells_CD86CD33dp_stromal_cellfrequency', 'Stroma_vascular_endothelium_stromal_area', 'Stroma_fibroblast_stromal_cellfrequency', 'aSMA-br_mesenchymal_glandfront_cellfrequency', 'Gland_glandular_epithelium_glandfront_cellfrequency', 'aSMA-br_mesenchymal_stromal_cellfrequency', 'Stroma_fibroblast_stromal_GranzymeB', 'NA_glandfront_Ki67', 'Dendritic_Cells_CD209CD86dp_glandfront_cellfrequency', 'Stroma_vascular_endothelium_glandfront_cellfrequency', 'NA_stromal_cellfrequency', 'CD8_T_cells_CD11b+_stromal_cellfrequency', 'Stroma_mesenchymal_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_intragland_cellfrequency', 'aSMA-br_fibroblast_glandfront_cellfrequency', 'Macrophages_M2-like_stromal_cellfrequency', 'Dendritic_Cells_CD209CD86dp_stromal_cellfrequency', 'NKT_glandfront_Ki67', 'CD8_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_glandular_epithelium_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'Neutrophils_intragland_cellfrequency', 'NK_cells_CD56brCD16-_stromal_cellfrequency', 'Gland_vascular_endothelium_stromal_cellfrequency', 'Stroma_fibroblast_intragland_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_cellfrequency', 'Dendritic_Cells_CD33+_glandfront_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'Gland_fibroblast_stromal_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'B_cells_stromal_cellfrequency', 'Macrophages_M2-like_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency', 'NK_cells_CD56brCD16-NKG2Ahi_stromal_cellfrequency', 'Dendritic_Cells_CD209CD33dp_glandfront_cellfrequency', 'NA_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Macrophages_MDSC_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency', 'Dendritic_Cells_CD86+_glandfront_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'Stroma_mesenchymal_stromal_cellfrequency', 'Macrophages_M1_M2_glandfront_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'Gland_mesenchymal_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Macrophages_M1_M2_stromal_GranzymeB', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'NK_cells_CD56dimCD16+_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+_stromal_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_glandfront_cellfrequency']",95
Fold_79,"['aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Neutrophils_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'Dendritic_Cells_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'NKT_glandfront_Ki67', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_mesenchymal_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'CD8_T_cells_CD80_CD86+_stromal_GranzymeB', 'NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Gland_glandular_epithelium_glandfront_area', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Stroma_fibroblast_glandfront_Ki67', 'aSMA-br_fibroblast_stromal_area', 'NA_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'NA_glandfront_Ki67', 'Stroma_fibroblast_stromal_GranzymeB', 'Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like']",39
Fold_80,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'Stroma_fibroblast_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M1-like_stromal_area', 'NKT_glandfront_Ki67', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_vascular_endothelium_glandfront_celldistance', 'Macrophages_M1-like_glandfront_area', 'Gland_fibroblast_intragland_eccentricity', 'B_cells_stromal_cellfrequency', 'Macrophages_M2-like_stromal_area', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_intragland_cellfrequency', 'aSMA-br_fibroblast_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1_M2_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_MDSC_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'NK_cells_CD56dimCD16+CD9hi_glandfront_area', 'Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M1-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Stroma_fibroblast_stromal_GranzymeB', 'CD4_T_cells_CD11b+_stromal_cellfrequency']",40
Fold_81,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'aSMA-br_fibroblast_stromal_GranzymeB', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_stromal_cellfrequency', 'NA_intragland_cellfrequency', 'B_cells_stromal_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M2-like_stromal_area', 'NKT_stromal_cellfrequency', 'NKT_glandfront_Ki67', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NKT_glandfront_area', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_cellfrequency', 'Gland_mesenchymal_intragland_ERa', 'Dendritic_Cells_CD86CD33dp_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_glandular_epithelium_stromal_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Stroma_vascular_endothelium_stromal_area', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'aSMA-br_mesenchymal_intragland_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M1_M2_stromal_cellfrequency', 'Stroma_fibroblast_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency', 'Macrophages_M1_M2_intragland_cellfrequency', 'NK_cells_CD56dimCD16+_stromal_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Stroma_vascular_endothelium_intragland_cellfrequency']",31
Fold_82,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_area', 'B_cells_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Stroma_fibroblast_stromal_ERa', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'NA_glandfront_Ki67', 'Stroma_fibroblast_glandfront_ERa', 'CD4_T_cells_CD11b+_stromal_cellfrequency']",20
Fold_83,"['aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NKT_glandfront_Ki67', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_fibroblast_intragland_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'B_cells_stromal_cellfrequency', 'NA_intragland_cellfrequency', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NKT_glandfront_area', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_vascular_endothelium_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'CD8_T_cells_CD11b+_glandfront_celldistance', 'Stroma_vascular_endothelium_stromal_area', 'Neutrophils_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Stroma_fibroblast_stromal_GranzymeB', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Stroma_vascular_endothelium_glandfront_cellfrequency', 'NA_stromal_cellfrequency']",41
Fold_84,"['aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_intragland_cellfrequency', 'NA_intragland_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'NKT_glandfront_area', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_mesenchymal_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_fibroblast_stromal_area', 'Macrophages_M1_M2_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'Stroma_vascular_endothelium_stromal_area', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_glandular_epithelium_glandfront_eccentricity', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_glandfront_area', 'Stroma_fibroblast_stromal_GranzymeB', 'Macrophages_M2-like_glandfront_celldistance']",26
Fold_85,"['aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M1-like_glandfront_area', 'B_cells_stromal_cellfrequency', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NKT_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD11b+_stromal_cellfrequency']",22
Fold_86,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'NKT_glandfront_Ki67', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Macrophages_MDSC_stromal_aggregatedNeighbors.Macrophages.MDSC', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Gland_fibroblast_intragland_ERa', 'aSMA-br_mesenchymal_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'NK_cells_CD56brCD16-TIM3hi_glandfront_pP38', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_fibroblast_intragland_HLA-DR', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'Stroma_vascular_endothelium_stromal_GranzymeB', 'Gland_mesenchymal_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'aSMA-br_fibroblast_stromal_GranzymeB', 'Macrophages_M1-like_glandfront_area', 'Stroma_mesenchymal_intragland_cellfrequency', 'NA_intragland_cellfrequency', 'Gland_fibroblast_intragland_PR', 'Gland_fibroblast_intragland_eccentricity', 'B_cells_stromal_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'NKT_intragland_cellfrequency', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_Ki67', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Stroma_fibroblast_glandfront_GranzymeB', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'aSMA-br_fibroblast_stromal_cellfrequency', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_mesenchymal_intragland_ERa', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_VEGF', 'Gland_vascular_endothelium_glandfront_VEGF', 'Stroma_fibroblast_stromal_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Stroma_fibroblast_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",50
Fold_87,"['NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'Stroma_mesenchymal_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_area', 'CD4_T_cells_CD11b+_glandfront_celldistance', 'Macrophages_M1-like_glandfront_cellfrequency', 'Neutrophils_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_stromal_cellfrequency', 'Macrophages_M1-like_stromal_eccentricity', 'CD8_T_cells_CD11b+_intragland_cellfrequency', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Gland_glandular_epithelium_stromal_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Neutrophils_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_HLA-DR', 'Neutrophils_intragland_cellfrequency', 'Gland_vascular_endothelium_glandfront_celldistance', 'NK_cells_CD56brCD16-_stromal_cellfrequency', 'Gland_fibroblast_glandfront_celldistance', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_intragland_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'Gland_fibroblast_glandfront_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'B_cells_stromal_cellfrequency', 'NA_intragland_cellfrequency', 'Macrophages_M2-like_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Stroma_vascular_endothelium_stromal_cellfrequency', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Gland_mesenchymal_stromal_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_stromal_area', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_fibroblast_glandfront_Ki67', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'Macrophages_M1_M2_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'Macrophages_M1_M2_glandfront_cellfrequency', 'Stroma_vascular_endothelium_stromal_area', 'Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Gland_glandular_epithelium_glandfront_cellfrequency', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD11b+_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency']",61
